

lambda, I
849.9059, 185875.9688
850.0839, 185913.1094
850.2618, 185905.0625
850.4397, 185862.7031
850.6176, 185917.3906
850.7955, 185959.6719
850.9734, 185955.3281
851.1514, 186006.2188
851.3293, 186040.5625
851.5072, 186096.9375
851.6851, 186097.4688
851.8630, 186191.5000
852.0410, 186199.1094
852.2189, 186223.5625
852.3967, 186238.3906
852.5746, 186156.2188
852.7526, 186165.7188
852.9305, 186150.0625
853.1084, 186047.2344
853.2863, 186043.5000
853.4642, 186016.4375
853.6422, 185969.8906
853.8201, 185968.3281
853.9980, 185968.4375
854.1759, 185963.5312
854.3538, 185953.1250
854.5317, 185916.4062
854.7097, 185914.2188
854.8876, 185898.6719
855.0655, 185913.5625
855.2434, 185892.8281
855.4213, 185879.8906
855.5992, 185930.3906
855.7772, 185886.0000
855.9551, 185892.7656
856.1330, 185942.3281
856.3109, 185947.9375
856.4888, 185959.4375
856.6667, 186020.6719
856.8447, 186008.8281
857.0226, 186030.0000
857.2005, 185990.3594
857.3784, 186018.0625
857.5563, 186041.0000
857.7343, 186030.3281
857.9122, 186108.0000
858.0901, 186107.6719
858.2680, 186103.7188
858.4459, 186089.1094
858.6238, 186029.6719
858.8018, 186068.1250
858.9797, 186029.5938
859.1576, 185993.9375
859.3355, 186013.1719
859.5134, 185984.6719
859.6913, 185994.4375
859.8693, 185974.3281
860.0472, 185986.9375
860.2251, 185960.8750
860.4030, 185906.2969
860.5809, 185965.1094
860.7589, 186050.1719
860.9368, 186030.1094
861.1147, 185869.3906
861.2926, 185924.5625
861.4705, 185883.0625
861.6484, 185891.3281
861.8264, 185868.0625
862.0043, 185868.3594
862.1822, 185908.6406
862.3601, 185897.8906
862.5380, 185954.3281
862.7159, 185948.1719
862.8939, 185973.8281
863.0718, 185970.8281
863.2497, 186061.0000
863.4276, 186121.7031
863.6055, 186149.5312
863.7834, 186198.6094
863.9614, 186212.3281
864.1393, 186204.2812
864.3172, 186142.2812
864.4951, 186140.2188
864.6730, 186134.5000
864.8510, 186107.4688
865.0289, 186097.5312
865.2068, 186013.3594
865.3847, 185979.3281
865.5626, 185998.0000
865.7405, 185982.8281
865.9185, 185963.1094
866.0964, 185933.9375
866.2743, 185946.6094
866.4522, 185916.6406
866.6301, 185907.5312
866.8080, 185908.2969
866.9860, 185936.3281
867.1639, 185885.2188
867.3418, 185893.1094
867.5197, 185905.3281
867.6976, 185903.0000
867.8755, 185946.9375
868.0535, 185986.1250
868.2314, 185904.4062
868.4093, 185980.5625
868.5872, 185953.8281
868.7651, 185991.1719
868.9431, 185999.4375
869.1210, 185992.6719
869.2988, 186032.2812
869.4767, 186051.7031
869.6547, 186062.4062
869.8326, 186103.0000
870.0105, 186119.8750
870.1884, 186110.3906
870.3663, 186071.6719
870.5443, 186046.4375
870.7222, 186039.2188
870.9001, 186067.7812
871.0780, 186050.0625
871.2559, 186020.2188
871.4338, 186014.0000
871.6118, 186006.6406
871.7897, 186015.7031
871.9676, 185968.2188
872.1455, 185966.7188
872.3234, 185948.7188
872.5013, 185979.0625
872.6793, 186071.8281
872.8572, 185908.2812
873.0351, 185916.4688
873.2130, 185937.7031
873.3909, 185916.2969
873.5688, 185892.5000
873.7468, 185959.2812
873.9247, 185924.7812
874.1026, 185886.2188
874.2805, 185889.7812
874.4584, 185958.8281
874.6364, 185971.1250
874.8143, 186004.3594
874.9922, 186001.1719
875.1701, 186064.1094
875.3480, 186112.5000
875.5259, 186165.8906
875.7039, 186186.1094
875.8818, 186235.8281
876.0597, 186196.1094
876.2376, 186203.8750
876.4155, 186200.8281
876.5934, 186149.0625
876.7714, 186118.7812
876.9493, 186074.0625
877.1272, 186025.2188
877.3051, 186005.6719
877.4830, 186009.7188
877.6609, 185948.4375
877.8389, 185972.7031
878.0168, 185971.4062
878.1947, 185954.4688
878.3726, 185952.1719
878.5505, 185991.8906
878.7285, 185937.6094
878.9064, 185943.5000
879.0843, 185898.5000
879.2622, 185930.0625
879.4401, 185894.3594
879.6180, 185962.8281
879.7960, 185977.2344
879.9739, 185974.4375
880.1518, 185982.1094
880.3297, 185975.1719
880.5076, 186016.0625
880.6855, 186010.5000
880.8635, 186022.6094
881.0414, 186090.5312
881.2193, 186012.2969
881.3972, 186080.5938
881.5751, 186110.1719
881.7531, 186133.0000
881.9310, 186152.7812
882.1089, 186138.9375
882.2868, 186123.7188
882.4647, 186104.9375
882.6426, 186103.4062
882.8206, 186055.4062
882.9985, 186036.8750
883.1764, 186051.3281
883.3543, 186054.3281
883.5322, 186065.7188
883.7101, 185999.7812
883.8881, 186006.8281
884.0660, 185961.2344
884.2439, 186008.7031
884.4218, 186030.0625
884.5997, 186126.2188
884.7776, 185887.5625
884.9556, 185914.2812
885.1335, 185971.6719
885.3114, 185939.7188
885.4893, 185947.6406
885.6672, 185955.4062
885.8452, 185965.2344
886.0230, 185927.1094
886.2009, 185990.5625
886.3788, 185985.7188
886.5568, 186008.7812
886.7347, 186065.0000
886.9126, 186104.1719
887.0905, 186114.8750
